epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,1490.66,0.8206,0.69423,0.82703,0,0,0,0,0,366.456,0,0.0002576,0.0002576,0.0002576
90,1507.45,0.83828,0.65276,0.80987,0,0,0,0,0,351.287,0,0.0002378,0.0002378,0.0002378
91,1524.09,0.83996,0.78199,0.79353,0,0,0,0,0,334.4,0,0.000218,0.000218,0.000218
92,1540.84,0.84864,0.74163,0.82002,0,0,0,0,0,311.866,0,0.0001982,0.0001982,0.0001982
93,1557.24,0.86896,0.75784,0.82118,0,0,0,0,0,291.024,0,0.0001784,0.0001784,0.0001784
94,1573.69,0.84793,0.79206,0.84438,0,0,0,0,0,272.211,0,0.0001586,0.0001586,0.0001586
95,1590.4,0.77324,0.73642,0.81201,0,0,0,0,0,259.905,0,0.0001388,0.0001388,0.0001388
96,1607.21,0.85768,0.78029,0.83694,0,0,0,0,0,256.759,0,0.000119,0.000119,0.000119
97,1623.64,0.82375,0.76886,0.81033,0,0,0,0,0,260.713,0,9.92e-05,9.92e-05,9.92e-05
98,1639.96,0.80458,0.75869,0.79706,0,0,0,0,0,267.646,0,7.94e-05,7.94e-05,7.94e-05
99,1656.42,0.81432,0.75532,0.80702,0,0,0,0,0,276.776,0,5.96e-05,5.96e-05,5.96e-05
100,1672.88,0.82625,0.72207,0.83453,0,0,0,0,0,285.938,0,3.98e-05,3.98e-05,3.98e-05
